Specie,Wavelength
C2 ,10133.603
C2 ,10133.854
C2 ,10135.149
C2 ,10135.923
C2 ,10138.54
C2 ,10139.805
C2 ,10143.723
C2 ,10145.505
C2 ,10148.351
C2 ,10151.523
C2 ,10154.897
C2 ,10156.515
C2 ,10163.323
C2 ,10164.763
C2 ,10171.963
C2 ,10176.252
C2 ,10182.434
C2 ,10189.693
C2 ,10194.755
C2 ,10204.998
C2 ,10208.931
C2 ,10222.171
C2 ,10241.246
C2 ,10224.982
C2 ,8750.847
C2,8751.487
C2 ,8751.685
C2 ,8753.578
C2 ,8753.945
C2 ,8753.9458
C2 ,8757.1
C2 ,8757.686
C2 ,8761.1898
C2 ,8762.144
C2 ,8763.7401
C2 ,8763.751
C2 ,8766.026
C2 ,8767.759
C2 ,8768.628
C2 ,8773.22
C2 ,8773.3
C2 ,8773.422
C2 ,8780.1
C2 ,8782.3
C2 ,8782.308
C2 ,8788.558
C2 ,8792.649
C2 ,8798.459
C2 ,8804.499
C2 ,8809.842
C2 ,8817.827
C2 ,8822.725
C2 ,8837.119
C2 ,8853.041
C2 ,8889.532
C2 ,7714.575
C2 ,7714.944
C2 ,7715.415
C2 ,7716.528
C2 ,7717.469
C2 ,7719.329
C2 ,7720.748
C2 ,7722.095
C2 ,7724.219
C2 ,7725.24
C2 ,7725.819
C2 ,7727.557
C2 ,7730.963
C2 ,7731.663
C2 ,7732.117
C2 ,7737.904
C2 ,7738.737
C2 ,7744.9
C2 ,7747.037
C2 ,7753.141
C2 ,7756.582
C2 ,7762.623
C2 ,7767.369
C2 ,6909.412
C2 ,6910.577
C2 ,6914.975
C2 ,6916.788
C2 ,6919.656
