Object,Sp.Type (MK),Sp.Type (EDIBLES)
HD 101065,B5,roAp(F3Ho)
HD 103779,B0.5 III,B0.5 Iab
HD 104705,B0.5 III,B0.5 III
HD 109399,B0.5 III,B0.5 Ib:
HD 111934,B2 Ib,B1.5 Ib
HD 112272,B1 Ia,B0.5 Ia
HD 113904,B0 I ae,O9 III
HD 114886,B1/B2 Ib/II,O9 III+O9.5 III
HD 116852,O9 III,O8.5 II-III(f)
HD 122879,B0 Iae,B0 Ia
HD 124314,O6 V,O6 IV(n)((f))
HD 133518,B2 IV,B2 Vp
HD 135591,O8 IV,O8 IV((f))
HD 143275,B0.2 IVe,B0.3 IV
HD 144470,B1 V,B1 V
HD 145502,B2 V,B2 V(SB2)
HD 147084,A4 II,A5 II
HD 147165,B1 III,B1 III
HD 147683,B4 V,B3: Vn(SB2)
HD 147888,B3/B4 V,B3 V:SB
HD 147889,B2 III/IV (pms),B2 V
HD 147933,B2 V,B2 IV
HD 147934,B2 V,B2 V
HD 148605,B3 V,B2 V
HD 148937,O5.5-6f,O6f?p
HD 149038,O9.7 Iab,O9.7Iab
HD 149404,O8.5 Iab(f)p,---
HD 149757,O9.2 IV,O9.2 IVnn
HD 150136,O3.5 If+O6 V,O3.5-4 III(f*)+O6 IV
HD 151804,O8 Ia,O8 Iaf(SB2)
HD 152408,WN9,O8: Iafpe
HD 152424,OC9.2 Ia,OC9.2 Ia(SB1)
HD 153919,O6 Iafcp,O6 Iafcp(SB1E)
HD 154043,B2 Iab,B2 Iab
HD 155806,O7.5 V (Be),O7.5 V((f))z(e)
HD 156201,B0.5 Ia,B0.5 Ia
HD 157246,B1 Ib,B1 Ib
HD 157978,B9.5 V+,G0/K0 II:+A1
HD 158926,B2 IV + DA7.9,B2 IV + DA.79
HD 164073,B3 III/IV,B3 III/IV
HD 164353,B5 I,---
HD 164740,O7,O7: V+sec.
HD 164906,B1 V,B0 Ve
HD 165319,B0 Ia,O9.7 Ib
HD 166937,B8 Iab(e),---
HD 167264,B0.5 Iab,O9.7 Iab
HD 167838,B3 Iab,B5 Ia
HD 167971,O8/O9f,O8 Iaf(n)+O4/5
HD 168076,O5,O4 III(f)
HD 169454,B1 Ia,B1 Ia
HD 170740,B2 V,B2 V
HD 170938,B1 Ia,B1 Ia
HD 171957,B8 II/III,B9 IV
HD 172694,B2 Ib,B1: Vne
HD 180554,B4 IV,---
HD 183143,B6 Ia,B7 Ia
HD 184915,B0.5 III,B0.5 IIIn
HD 185418,B0.5 V,B0.5 V
HD 185859,B0.5 Iae,B0.5 Ia
HD 186745,B8 Ia,B8 Ia
HD 186841,B1 Ia,B0.5 I
HD 203532,B3 IV,B3 IV
HD 22951,B0.5 V,B0.5 V
HD 23016,B9 Vne,B8 Ve
HD 23180,B1 III,B1 III
HD 24398,B1 Ib,B1 Ib
HD 27778,B3 V,B3 V
HD 303308,O3 V,O4.5 V((fc))
HD 34748,B1.5 Vn,B1.5 Vn
HD 36486,O9.5 II,O9.5 II Nwk
HD 36695,B1 V,B1 V
HD 36822,B0 III,B0 III
HD 36861,O8 III,O8 III(f)
HD 36982,B1.5 Vpvar,---
HD 37020,B0.5 V,B0.5 V
HD 37021,B3 V,B0 V
HD 37022,04-6p var,O7 Vp
HD 37023,B0.5 V,B1.5 Vp
HD 37041,O9 V,O9.5I Vp
HD 37061,B0.5 V,B0.5 V
HD 37128,B0 Iae,B0 Ia
HD 37367,B2 V SB,B2 IV/V
HD 37903,B1.5 V,B1.5 V
HD 38087,B5 V,B5 V
HD 38771,B0.5 Ia,B0.5 Ia
HD 39680,O6 V,O6 V:[n]pe-var
HD 40111,B1 Ib,B1 Ib
HD 41117,B2 Iaev,B2 Ia
HD 43384,B3 Iab,B3 Iab
HD 45314,O9,O9:npe
HD 49787,B1 V,B1 V:pe
HD 50820,B3 IVe,B3 IVe
HD 53975,O7.5 V,O7.5 Vz
HD 54439,B2 IIIn,B2 IIIn
HD 54662,O6.5 V,O7 Vzvar?(SB2)
HD 55879,O9.5 II/III,O9.7 III
HD 57061,09 Ib,O9 II(SB2+SBE)
HD 61827,O8 V,B3 Iab
HD 66194,B2 IVpne,B2 Vne
HD 66811,O4 If,O4 I(n)fp
HD 73882,O8.5 V,O8.5 IV(SB1+SBE)
HD 75309,B2 Ib/II,B2 Ib/II
HD 75860,B1.5 Iae,BC2 Iab
HD 79186,B5 Ia,B5 Ia
HD 80558,B6 Iae,B6 Ia
HD 81188,B2 IV-V,---
HD 91824,O7 V(f),O7 V((f))z(SB1)
HD 93030,B0.5 Vp,B0.2 Vp
HD 93205,O3 V,O3.5 V((f))+O8 V
HD 93222,O7 III (f),O7 V((f))z
HD 93843,O5 e,O5 III(fc)SB1?
HD 94493,B0.5 Iab,B0.5 Ib:
HD 99953,B2 Ia,B2 Ia
