Sightline,chisq,B,B_err,delta_B,delta_B_err,zeta,zeta_err,T,T_err,sigma,sigma_err,origin,origin_err
HD24398,0.23940232,0.00232731,0.00077595,0.03740405,0.01329948,0.72597759,0.04864889,100.394951,33.2268927,0.16847525,0.00636311,-1.3955774,0.0036415
HD185859,2.49586413,0.00166255,0.00224753,0.05007588,0.07985496,0.14366518,0.16682518,54.9238581,74.6436353,0.18320933,0.02286634,-0.21166683,0.00681249
HD144470,0.58397411,0.00229356,0.00088482,0.12835965,0.03897197,0.12884425,0.09303331,49.2553081,17.4208631,0.15919631,0.01835961,-0.12954359,0.00859747
HD166937,0.5512542,0.00269455,0.00070484,0.04003552,0.00697056,0.68307151,0.05676961,88.6098744,20.1542922,0.17269476,0.00592733,-0.30535685,0.00362135
HD147165,0.24882306,0.00344452,0.0010205,0.07345939,0.01362657,0.63462038,0.097328,79.8794028,18.5810616,0.18354568,0.00702915,-0.35637218,0.00843089
HD147683,0.15859246,0.00457334,0.00098161,0.04838537,0.00782945,0.8216754,0.02947663,99.1739837,17.0163349,0.1623208,0.00839154,-0.62159664,0.00762356
HD149757,0.68930466,0.00344816,0.00092691,0.14277622,0.01527255,0.63322117,0.11802817,63.7353822,10.5287522,0.1600042,0.01139884,0.06320202,0.0122048
HD170740,,,,,,,,,,,,,
HD184915,,,,,,,,,,,,,
HD185418,,,,,,,,,,,,,
HD203532,,,,,,,,,,,,,
